subject,file,N_target,kind,frames,shape_p50_diff_mean,shape_p90_diff_mean,centroid_drift_mean,nn_p95_mean,unique_ratio_mean,max_dup_p95,jitter_base,jitter_fps,jitter_wrs
F,Jalan17.csv,56,wrs_up,146,0.010016787988580253,0.03518365910404349,0.02913141485274935,0.0,0.5031800391389433,15.0,0.6025159955024719,0.6007720232009888,0.6036610007286072
F,Jalan18.csv,56,fps_overall,195,0.01043584895057556,0.0356369892297647,0.03526270273201263,0.013989700540631799,0.7940476190476191,11.299999999999983,0.6193482279777527,0.6115762591362,0.6141208410263062
F,Jalan18.csv,56,fps_down,106,0.012749735617412711,0.015114208788804278,0.03576370942590864,0.025735769862483025,1.0,1.0,0.6193482279777527,0.6115762591362,0.6141208410263062
F,Jalan18.csv,56,fps_up,85,0.008041394940193961,0.06290713844930428,0.03629733921877821,0.0,0.5275210084033614,13.799999999999997,0.6193482279777527,0.6115762591362,0.6141208410263062
F,Jalan18.csv,56,wrs_overall,195,0.007587958509341264,0.034038505110985204,0.027608714861801276,0.025825379732165057,0.7940476190476191,11.299999999999983,0.6193482279777527,0.6115762591362,0.6141208410263062
F,Jalan18.csv,56,wrs_down,106,0.00751069188117981,0.01217360121180427,0.021683260042029258,0.04750895328086969,1.0,1.0,0.6193482279777527,0.6115762591362,0.6141208410263062
F,Jalan18.csv,56,wrs_up,85,0.008041394940193961,0.06290713844930428,0.03629733921877821,0.0,0.5275210084033614,13.799999999999997,0.6193482279777527,0.6115762591362,0.6141208410263062
F,Jalan19.csv,56,fps_overall,214,0.008917024672449193,0.059171381832979535,0.03148279589857628,0.00651269335657962,0.559913217623498,15.0,0.7079738974571228,0.7115505337715149,0.7098574638366699
F,Jalan19.csv,56,fps_down,50,0.006367237642407418,0.018652948290109626,0.02159664223436266,0.02787432756616077,1.0,1.0,0.7079738974571228,0.7115505337715149,0.7098574638366699
F,Jalan19.csv,56,fps_up,163,0.009753873606035314,0.07196336378989042,0.034708504359369265,0.0,0.4222173531989484,15.900000000000006,0.7079738974571228,0.7115505337715149,0.7098574638366699
