file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan39.csv,F,56,181,48,129,4,0,872,4047,0
Jalan4.csv,F,56,46,0,46,0,0,0,2097,0
Jalan40.csv,F,56,186,37,147,2,0,877,4480,0
Jalan41.csv,F,56,160,66,91,3,0,1461,2332,0
Jalan42.csv,F,56,133,78,54,1,0,2276,978,0
Jalan43.csv,F,56,177,23,152,2,0,359,4657,0
Jalan44.csv,F,56,182,46,135,1,0,1031,3740,0
Jalan45.csv,F,56,154,59,95,0,0,1673,2468,0
Jalan46.csv,F,56,119,65,53,1,0,1907,1417,0
Jalan47.csv,F,56,330,102,224,4,0,2253,6886,0
Jalan48.csv,F,56,302,104,196,2,0,3212,5440,0
Jalan49.csv,F,56,98,34,60,4,0,604,1242,0
Jalan5.csv,F,56,60,0,60,0,0,0,2262,0
Jalan50.csv,F,56,99,62,36,1,0,2416,744,0
Jalan51.csv,F,56,102,42,59,1,0,1111,1565,0
Jalan52.csv,F,56,48,0,48,0,0,0,2277,0
Jalan53.csv,F,56,72,0,72,0,0,0,2714,0
Jalan54.csv,F,56,94,12,80,2,0,102,2308,0
Jalan55.csv,F,56,89,28,58,3,0,488,1830,0
Jalan56.csv,F,56,81,31,49,1,0,585,1650,0
Jalan57.csv,F,56,96,45,51,0,0,1882,1451,0
Jalan58.csv,F,56,98,23,74,1,0,399,2434,0
Jalan59.csv,F,56,81,21,59,1,0,303,1418,0
Jalan6.csv,F,56,73,15,57,1,0,154,1579,0
Jalan60.csv,F,56,106,17,86,3,0,279,2823,0
Jalan61.csv,F,56,107,54,50,3,0,1155,1212,0
Jalan62.csv,F,56,102,30,72,0,0,665,2109,0
Jalan63.csv,F,56,253,49,200,4,0,766,6355,0
Jalan64.csv,F,56,268,67,197,4,0,1220,5827,0
Jalan65.csv,F,56,229,76,150,3,0,1938,4025,0
Jalan66.csv,F,56,180,105,71,4,0,2919,1371,0
Jalan67.csv,F,56,208,33,174,1,0,548,5592,0
Jalan68.csv,F,56,254,66,187,1,0,1133,5964,0
Jalan69.csv,F,56,203,78,123,2,0,1792,3246,0
Jalan7.csv,F,56,75,22,50,3,0,383,1515,0
Jalan70.csv,F,56,164,90,72,2,0,2341,1878,0
Jalan71.csv,F,56,428,143,281,4,0,3019,8086,0
Jalan72.csv,F,56,400,183,210,7,0,6131,5557,0
Jalan8.csv,F,56,78,29,49,0,0,677,1779,0
Jalan9.csv,F,56,103,52,51,0,0,2097,1630,0
Jalan1.csv,G,56,93,31,61,1,0,422,1116,0
Jalan10.csv,G,56,98,26,70,2,0,541,2199,0
Jalan11.csv,G,56,74,31,40,3,0,375,720,0
Jalan12.csv,G,56,97,26,68,3,0,909,1810,0
Jalan13.csv,G,56,109,53,53,3,0,1497,1474,0
Jalan14.csv,G,56,106,27,78,1,0,381,2198,0
Jalan15.csv,G,56,235,46,188,1,0,723,6174,0
Jalan16.csv,G,56,236,66,169,1,0,1383,4613,0
Jalan17.csv,G,56,214,78,134,2,0,1589,3303,0
Jalan18.csv,G,56,191,110,78,3,0,3547,1903,0
Jalan19.csv,G,56,231,36,194,1,0,731,6261,0
Jalan2.csv,G,56,101,56,43,2,0,2235,934,0
