file,subject,N,frames,down,up,eq,empty,total_drop,total_fill
Jalan71.csv,D,64,476,82,390,4,0,1558,13593
Jalan72.csv,D,64,507,106,398,3,0,3181,12804
Jalan8.csv,D,64,83,27,56,0,0,536,2123
Jalan9.csv,D,64,94,36,58,0,0,1325,2178
Jalan1.csv,E,64,97,21,74,2,0,253,2241
Jalan10.csv,E,64,84,24,58,2,0,436,1955
Jalan11.csv,E,64,89,20,68,1,0,257,2446
Jalan12.csv,E,64,92,26,66,0,0,795,2318
Jalan13.csv,E,64,98,37,59,2,0,554,1667
Jalan14.csv,E,64,86,14,71,1,0,289,2165
Jalan15.csv,E,64,256,14,239,3,0,107,8731
Jalan16.csv,E,64,241,51,187,3,0,1069,6885
Jalan17.csv,E,64,241,63,177,1,0,1277,5830
Jalan18.csv,E,64,167,74,92,1,0,1424,2449
Jalan19.csv,E,64,232,39,191,2,0,510,7135
Jalan2.csv,E,64,98,49,49,0,0,1736,1315
Jalan20.csv,E,64,214,60,153,1,0,1211,5328
Jalan21.csv,E,64,191,39,148,4,0,969,4727
Jalan22.csv,E,64,159,79,79,1,0,1885,1992
Jalan23.csv,E,64,382,59,321,2,0,693,10868
Jalan24.csv,E,64,396,107,286,3,0,3424,9051
Jalan25.csv,E,64,61,3,58,0,0,63,1849
Jalan26.csv,E,64,77,33,44,0,0,828,1054
Jalan27.csv,E,64,72,39,32,1,0,1280,989
Jalan28.csv,E,64,54,0,54,0,0,0,2788
Jalan29.csv,E,64,51,0,50,1,0,0,1825
Jalan3.csv,E,64,94,40,53,1,0,972,1542
Jalan30.csv,E,64,67,12,54,1,0,130,1793
Jalan31.csv,E,64,80,33,44,3,0,575,1553
Jalan32.csv,E,64,66,19,47,0,0,312,2063
Jalan33.csv,E,64,68,22,46,0,0,721,1770
Jalan34.csv,E,64,69,16,52,1,0,357,1887
Jalan35.csv,E,64,70,22,48,0,0,337,1509
Jalan36.csv,E,64,75,16,59,0,0,315,1873
Jalan37.csv,E,64,80,23,55,2,0,362,1703
Jalan38.csv,E,64,69,11,57,1,0,210,1744
Jalan39.csv,E,64,189,20,167,2,0,200,6216
Jalan4.csv,E,64,69,0,69,0,0,0,3400
Jalan40.csv,E,64,161,41,120,0,0,1180,4274
Jalan41.csv,E,64,166,56,110,0,0,1224,2814
Jalan42.csv,E,64,141,79,61,1,0,2067,1428
Jalan43.csv,E,64,192,24,166,2,0,281,5924
Jalan44.csv,E,64,183,52,129,2,0,1100,3987
Jalan45.csv,E,64,146,53,91,2,0,1140,2371
Jalan46.csv,E,64,122,67,54,1,0,1830,1116
Jalan47.csv,E,64,305,68,234,3,0,1036,7859
Jalan48.csv,E,64,320,86,233,1,0,2790,8262
Jalan49.csv,E,64,99,11,87,1,0,95,2262
Jalan5.csv,E,64,67,0,67,0,0,0,2751
Jalan50.csv,E,64,93,47,44,2,0,1283,1168
Jalan51.csv,E,64,129,57,71,1,0,1001,1934
Jalan52.csv,E,64,83,0,83,0,0,0,3865
Jalan53.csv,E,64,102,1,101,0,0,6,3868
Jalan54.csv,E,64,111,8,101,2,0,40,3404
Jalan55.csv,E,64,135,50,85,0,0,1054,2754
Jalan56.csv,E,64,116,45,71,0,0,725,2689
Jalan57.csv,E,64,106,29,77,0,0,453,2364
Jalan58.csv,E,64,111,33,76,2,0,564,2633
Jalan59.csv,E,64,109,41,68,0,0,1419,2389
Jalan6.csv,E,64,81,5,75,1,0,17,2757
