file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan7.csv,E,48,86,45,41,0,0,1023,986,0
Jalan70.csv,E,48,163,117,46,0,0,4065,937,0
Jalan71.csv,E,48,467,170,289,8,0,3628,7215,0
Jalan72.csv,E,48,436,246,185,5,0,8120,3903,0
Jalan8.csv,E,48,85,37,47,1,0,936,1327,0
Jalan9.csv,E,48,82,41,38,3,0,1411,961,0
Jalan1.csv,F,48,75,46,29,0,0,737,396,0
Jalan10.csv,F,48,97,31,66,0,0,748,1646,0
Jalan11.csv,F,48,97,53,43,1,0,1122,1057,0
Jalan12.csv,F,48,95,37,55,3,0,968,1561,0
Jalan13.csv,F,48,105,54,51,0,0,1161,1172,0
Jalan14.csv,F,48,105,25,79,1,0,443,1787,0
Jalan15.csv,F,48,245,67,173,5,0,960,4218,0
Jalan16.csv,F,48,269,102,162,5,0,1899,4336,0
Jalan17.csv,F,48,238,108,126,4,0,2826,2947,0
Jalan18.csv,F,48,195,120,74,1,0,4018,1617,0
Jalan19.csv,F,48,214,62,151,1,0,1455,4013,0
Jalan2.csv,F,48,89,64,25,0,0,2554,421,0
Jalan20.csv,F,48,208,78,125,5,0,1782,2916,0
Jalan21.csv,F,48,171,86,84,1,0,2504,1645,0
Jalan22.csv,F,48,159,96,60,3,0,3207,1485,0
Jalan23.csv,F,48,398,156,239,3,0,3231,5657,0
Jalan24.csv,F,48,383,193,183,7,0,6501,4199,0
Jalan25.csv,F,48,70,26,43,1,0,414,662,0
Jalan26.csv,F,48,76,48,27,1,0,1946,558,0
Jalan27.csv,F,48,74,49,25,0,0,1259,598,0
Jalan28.csv,F,48,36,0,36,0,0,0,1466,0
Jalan29.csv,F,48,49,1,48,0,0,4,1536,0
Jalan3.csv,F,48,86,52,33,1,0,1731,825,0
Jalan30.csv,F,48,68,17,49,2,0,227,1190,0
Jalan31.csv,F,48,69,25,41,3,0,402,1017,0
Jalan32.csv,F,48,69,29,40,0,0,811,1177,0
Jalan33.csv,F,48,72,29,42,1,0,458,983,0
Jalan34.csv,F,48,75,17,57,1,0,273,1597,0
Jalan35.csv,F,48,77,43,32,2,0,1429,773,0
Jalan36.csv,F,48,72,36,36,0,0,1012,1016,0
Jalan37.csv,F,48,86,50,34,2,0,1509,703,0
Jalan38.csv,F,48,83,20,61,2,0,466,1568,0
Jalan39.csv,F,48,181,60,121,0,0,1318,3045,0
